timestamp;tsa;tsf;tss;ens;dvt;plu;vvt;hra
01/01/2020-00:00:00;2,3;3,1;4,5;0;0;0;2,6;98,8
01/01/2020-01:00:00;2,5;3,1;4,6;0;-9999;0;2,4;99
01/01/2020-02:00:00;2,6;3,2;4,6;0;-9999;0;1,6;99
01/01/2020-03:00:00;2,6;3,2;4,6;0;-9999;0;1,3;99
01/01/2020-04:00:00;2,2;2,6;4,6;0;-9999;0;0,6;99,1
01/01/2020-05:00:00;0,5;1,8;4,6;0;-9999;0;0,6;99,1
01/01/2020-06:00:00;-0,6;1,5;4,6;0;-9999;0;1,3;99,1
01/01/2020-07:00:00;-1,3;1;4,5;0;-9999;0;0;99,1
01/01/2020-08:00:00;-1,6;0,6;4,5;0;-9999;0;0;98,9
01/01/2020-09:00:00;-0,8;0,6;4,4;0;-9999;0;0;99
01/01/2020-10:00:00;-0,8;0,4;4,4;0;-9999;0;0;99
01/01/2020-11:00:00;-1;0,2;4,3;0;-9999;0;0;98,6
01/01/2020-12:00:00;0,7;1,9;4,2;0;-9999;0,1;0,1;98,5
01/01/2020-13:00:00;2,2;3,4;4,2;237;-9999;0;1,4;98,2
01/01/2020-14:00:00;3,1;4;4,1;276;-9999;0;2,4;96,4
01/01/2020-15:00:00;5;4,3;4,1;264;-9999;0;2,7;77,3
01/01/2020-16:00:00;5,7;4,7;4,1;208;-9999;0,1;2;75,2
01/01/2020-17:00:00;5,6;4,5;4,1;103;-9999;0;1,8;74,1
01/01/2020-18:00:00;4,1;3;4,2;21;-9999;0;0,7;81,1
01/01/2020-19:00:00;3;1,8;4,3;0;-9999;0;0,7;86,5
01/01/2020-20:00:00;1,6;1,3;4,3;0;-9999;0;0,6;90,9
01/01/2020-21:00:00;0,9;1;4,3;0;-9999;0;0,5;93,3
01/01/2020-22:00:00;0,7;0,9;4,2;0;-9999;0;1,1;93,2
01/01/2020-23:00:00;0,9;1,4;4,2;0;-9999;0;1,9;92,9
02/01/2020-00:00:00;1,1;1,7;4,1;0;-9999;0;2,3;92,2
02/01/2020-01:00:00;1,2;1,8;4,1;0;-9999;0;2;92,7
02/01/2020-02:00:00;0,9;1,9;4,1;0;-9999;0;2,4;94,8
02/01/2020-03:00:00;0,7;1,9;4;0;-9999;0;2,8;97,6
02/01/2020-04:00:00;0,6;1,8;4;0;-9999;0;2,8;98,4
02/01/2020-05:00:00;0,6;1,8;4;0;-9999;0;2,4;98,7
02/01/2020-06:00:00;0,5;1,8;4;0;-9999;0;3;98,9
02/01/2020-07:00:00;0,4;1,7;4;0;-9999;0;3,3;99
02/01/2020-08:00:00;0,4;1,7;4;0;-9999;0;3,4;99,1
02/01/2020-09:00:00;0,7;1,7;4;0;-9999;0;3,6;98,5
02/01/2020-10:00:00;0,5;1,2;4;0;-9999;0;3,2;95,2
02/01/2020-11:00:00;1;1,3;4;0;-9999;0;3;93,2
02/01/2020-12:00:00;2;2,3;3,9;0;-9999;0;2,6;92,3
02/01/2020-13:00:00;2,9;3,1;3,9;75;-9999;0;2,8;92,3
02/01/2020-14:00:00;3,7;3,8;3,9;88;-9999;0;3,4;91,4
02/01/2020-15:00:00;4,5;4,3;4;85;-9999;0;3,1;90,1
02/01/2020-16:00:00;5;4,6;4;49;-9999;0;2,8;90,4
02/01/2020-17:00:00;5;4,6;4,1;23;-9999;0;3,4;91,5
02/01/2020-18:00:00;4,9;4,5;4,2;15;-9999;0;4;92,1
02/01/2020-19:00:00;5;4,4;4,2;0;-9999;0;3,7;92,4
02/01/2020-20:00:00;5;4,5;4,3;0;-9999;0;3,4;93,5
02/01/2020-21:00:00;5,3;4,6;4,4;0;-9999;0;3,6;94,1
02/01/2020-22:00:00;5,7;4,8;4,4;0;-9999;0;3,5;93,5
02/01/2020-23:00:00;6,3;5,1;4,5;0;-9999;0;3,9;91,3
03/01/2020-00:00:00;7;5,6;4,5;0;-9999;0;3,8;89,8
