timestamp;tsa;tsf;tss;ens;dvt;plu;vvt;hra
03/01/2020-01:00:00;7,6;6;4,6;0;-9999;0;3,9;87,7
03/01/2020-02:00:00;7,8;6,2;4,6;0;-9999;0;3,9;87,1
03/01/2020-03:00:00;8;6,5;4,7;0;-9999;0;4;87
03/01/2020-04:00:00;7,8;6,6;4,8;0;-9999;0;4,2;90,4
03/01/2020-05:00:00;8;6,8;4,9;0;-9999;0;4;90,3
03/01/2020-06:00:00;8,2;6,8;4,9;0;-9999;0;4,5;87,9
03/01/2020-07:00:00;8,2;6,7;5;0;-9999;0;4,3;86,2
03/01/2020-08:00:00;8,3;6,9;5,1;0;-9999;0;4,2;85,6
03/01/2020-09:00:00;8,4;7;5,2;0;-9999;0;4,2;86
03/01/2020-10:00:00;7,9;7,1;5,2;0;-9999;0,1;4;92,3
03/01/2020-11:00:00;8;7,2;5,3;0;-9999;0,1;4;93,5
03/01/2020-12:00:00;8,3;7,5;5,4;0;-9999;0,1;3,9;93,2
03/01/2020-13:00:00;9;7,9;5,4;46;-9999;0;3,8;89,8
03/01/2020-14:00:00;9,2;8,2;5,5;51;-9999;0,3;4;90,3
03/01/2020-15:00:00;9,3;8,5;5,6;65;-9999;0,4;4,7;91,5
03/01/2020-16:00:00;9,2;8,6;5,7;39;-9999;0,3;4,4;94,6
03/01/2020-17:00:00;9,2;8,7;5,8;25;-9999;0,2;4,4;95,7
03/01/2020-18:00:00;9,3;8,7;5,9;12;-9999;0,3;3,6;96,1
03/01/2020-19:00:00;8,8;8,4;6;0;-9999;0,1;5,3;94,8
03/01/2020-20:00:00;6,5;6,8;6,1;0;-9999;0,1;6,2;95,2
03/01/2020-21:00:00;6,4;6,1;6,2;0;-9999;0;3,8;91,1
03/01/2020-22:00:00;5,8;5,4;6,2;0;-9999;0;2,7;90,1
03/01/2020-23:00:00;5,2;4,7;6,1;0;-9999;0;2,3;91,7
04/01/2020-00:00:00;5,2;4,8;6,1;0;-9999;0;2,6;91,3
04/01/2020-01:00:00;4,8;4,3;6;0;-9999;0;1,9;91,7
04/01/2020-02:00:00;4,4;3,9;6;0;-9999;0;2,5;92,2
04/01/2020-03:00:00;3,8;3,5;5,9;0;-9999;0;1,9;93,3
04/01/2020-04:00:00;3,2;3;5,8;0;-9999;0;2,1;94,8
04/01/2020-05:00:00;3;2,8;5,7;0;-9999;0;2;94,1
04/01/2020-06:00:00;3;2,8;5,6;0;-9999;0;2,4;93,5
04/01/2020-07:00:00;3,2;2,9;5,5;0;-9999;0;2,8;92,4
04/01/2020-08:00:00;2,8;2,6;5,5;0;-9999;0;2,8;92,5
04/01/2020-09:00:00;2,8;2,4;5,4;0;-9999;0;3;91,5
04/01/2020-10:00:00;2,5;2,2;5,3;0;-9999;0;2,7;92,1
04/01/2020-11:00:00;2,6;2,4;5,2;0;-9999;0;2,9;91,5
04/01/2020-12:00:00;3,6;3,1;5,1;0;-9999;0;3,3;86,8
04/01/2020-13:00:00;5;4,1;5,1;210;-9999;0;3,2;82,7
04/01/2020-14:00:00;6,6;5,2;5;272;-9999;0;3,7;77,7
04/01/2020-15:00:00;6,8;5,8;5;200;-9999;0;3,7;78,5
04/01/2020-16:00:00;6,8;6;5,1;129;-9999;0;3,7;80,5
04/01/2020-17:00:00;6,7;6;5,1;64;-9999;0;3,4;81,9
04/01/2020-18:00:00;6,5;5,6;5,2;22;-9999;0;3,2;82,8
04/01/2020-19:00:00;6,2;5,5;5,3;0;-9999;0;2,8;86
04/01/2020-20:00:00;6,1;5,5;5,3;0;-9999;0;2,9;88
04/01/2020-21:00:00;5,8;5,2;5,3;0;-9999;0;3;88,6
04/01/2020-22:00:00;5,7;5,2;5,4;0;-9999;0;2,7;89
04/01/2020-23:00:00;5,6;5,2;5,4;0;-9999;0;2,3;89,2
05/01/2020-00:00:00;5,4;5,1;5,4;0;-9999;0;2,3;90,2
05/01/2020-01:00:00;5,3;5;5,4;0;-9999;0;2,2;90,7
05/01/2020-02:00:00;5,2;5;5,4;0;-9999;0;2,2;91,2
05/01/2020-03:00:00;5,2;4,9;5,4;0;-9999;0;2;91,1
05/01/2020-04:00:00;5,3;4,9;5,4;0;-9999;0;1,9;90,1
05/01/2020-05:00:00;5,3;4,9;5,4;0;-9999;0;2;89,8
05/01/2020-06:00:00;5,3;4,9;5,4;0;-9999;0;1,8;89,1
05/01/2020-07:00:00;5,2;4,9;5,4;0;-9999;0;1,6;89,5
05/01/2020-08:00:00;4,9;4,8;5,5;0;-9999;0;1,7;90,9
05/01/2020-09:00:00;5;4,7;5,5;0;-9999;0;1,6;89,2
05/01/2020-10:00:00;5;4,7;5,5;0;-9999;0;1,5;88,7
05/01/2020-11:00:00;5,1;4,8;5,5;0;-9999;0;1,7;87,6
05/01/2020-12:00:00;5,6;5,1;5,5;0;-9999;0;1,5;84,4
05/01/2020-13:00:00;6,2;5,4;5,5;67;-9999;0;1,8;78
05/01/2020-14:00:00;6,4;5,6;5,5;71;-9999;0;1,9;75,6
05/01/2020-15:00:00;6,6;5,9;5,5;76;-9999;0;1,8;76
05/01/2020-16:00:00;6,7;5,9;5,5;50;-9999;0;1,8;75,4
05/01/2020-17:00:00;6,7;5,8;5,6;28;-9999;0;1,8;75
05/01/2020-18:00:00;6,6;5,6;5,6;13;-9999;0;1,6;76,5
05/01/2020-19:00:00;6,4;5,4;5,6;0;-9999;0;1,4;78,3
05/01/2020-20:00:00;6,1;5,4;5,7;0;-9999;0;1,6;80,6
05/01/2020-21:00:00;6,1;5,3;5,7;0;-9999;0;1,8;82,3
05/01/2020-22:00:00;5,9;5,4;5,7;0;-9999;0;2,2;84,5
05/01/2020-23:00:00;5,8;5,3;5,7;0;-9999;0;2,5;84,2
06/01/2020-00:00:00;5,7;5,2;5,7;0;-9999;0;2;83,7
06/01/2020-01:00:00;5,6;5,1;5,7;0;-9999;0;1,8;82,5
06/01/2020-02:00:00;5,5;5;5,7;0;-9999;0;1,9;82,5
06/01/2020-03:00:00;5,4;5;5,7;0;-9999;0;1,5;81,9
06/01/2020-04:00:00;5,5;4,9;5,7;0;-9999;0;1,8;80,1
06/01/2020-05:00:00;5,4;4,8;5,7;0;-9999;0;1,9;78,6
06/01/2020-06:00:00;5,2;4,7;5,7;0;-9999;0;1,9;78,5
06/01/2020-07:00:00;4,8;4,5;5,7;0;-9999;0;1,8;77,7
06/01/2020-08:00:00;3,4;3,4;5,6;0;-9999;0;1,3;81,1
06/01/2020-09:00:00;2,4;2,7;5,6;0;-9999;0;2,1;83,1
06/01/2020-10:00:00;1,8;2,3;5,6;0;-9999;0;2,1;83,9
06/01/2020-11:00:00;2,2;2,4;5,5;0;-9999;0;2,1;81,9
06/01/2020-12:00:00;3,4;3,8;5,4;0;-9999;0;2,9;78,4
06/01/2020-13:00:00;4,7;4,7;5,3;256;-9999;0;3,7;75,2
06/01/2020-14:00:00;5,9;5,2;5,3;289;-9999;0;3,8;72
06/01/2020-15:00:00;7,1;5,7;5,2;268;-9999;0;3,8;68,2
06/01/2020-16:00:00;7,8;6,1;5,2;224;-9999;0;3,9;66,6
06/01/2020-17:00:00;8,1;6;5,3;128;-9999;0;3,8;63,9
06/01/2020-18:00:00;7,2;5,1;5,3;24;-9999;0;3,2;65,1
06/01/2020-19:00:00;6,4;4,3;5,3;0;-9999;0;3,1;66,4
06/01/2020-20:00:00;5,5;3,9;5,4;0;-9999;0;3,3;68,5
06/01/2020-21:00:00;4,8;3,6;5,3;0;-9999;0;3,4;73,5
06/01/2020-22:00:00;3,9;3,2;5,3;0;-9999;0;3,8;80,5
06/01/2020-23:00:00;4,1;3,4;5,3;0;-9999;0;3,5;81,3
07/01/2020-00:00:00;4,6;4;5,2;0;-9999;0;3,5;82,6
07/01/2020-01:00:00;4,2;4,2;5,2;0;-9999;0,5;3,2;92,2
07/01/2020-02:00:00;4,3;4,4;5,2;0;-9999;0,6;3;95,6
07/01/2020-03:00:00;4,9;4,8;5,2;0;-9999;0;2,7;96,2
07/01/2020-04:00:00;5,5;5,1;5,2;0;-9999;0;2,7;95,9
07/01/2020-05:00:00;6;5,5;5,3;0;-9999;0;2,5;94,9
07/01/2020-06:00:00;6,3;5,7;5,3;0;-9999;0;1,8;94,8
07/01/2020-07:00:00;6,5;5,9;5,4;0;-9999;0;1,9;95
07/01/2020-08:00:00;6,6;6;5,4;0;-9999;0;2,1;94,8
07/01/2020-09:00:00;6,4;6;5,5;0;-9999;0;2,2;94,9
07/01/2020-10:00:00;6,3;5,9;5,6;0;-9999;0;2;95,7
07/01/2020-11:00:00;6,4;6;5,6;0;-9999;0;2,5;94,4
07/01/2020-12:00:00;6,8;6,4;5,6;0;-9999;0;2,4;92,4
07/01/2020-13:00:00;7,1;-9999;-9999;48;-9999;0;2,6;90,2
07/01/2020-14:00:00;7,4;6,7;5,6;95;-9999;0;2,9;88,1
07/01/2020-15:00:00;7,7;7,1;5,7;143;-9999;0;3,1;85,9
07/01/2020-16:00:00;8,1;7,2;5,7;128;-9999;0;3,6;82
07/01/2020-17:00:00;7,3;6,7;5,8;49;-9999;0;4,4;84
07/01/2020-18:00:00;6,9;6,3;5,9;18;-9999;0;3,4;84,6
07/01/2020-19:00:00;6,9;6;5,9;0;-9999;0;3,9;83,4
07/01/2020-20:00:00;6,8;5,7;5,9;0;-9999;0;4,5;82,8
07/01/2020-21:00:00;6,6;5,5;5,9;0;-9999;0;5,3;82,9
07/01/2020-22:00:00;6,2;5,3;5,9;0;-9999;0;5;84,6
07/01/2020-23:00:00;6,5;5,6;5,9;0;-9999;0;5,3;85,6
08/01/2020-00:00:00;6,9;5,9;5,9;0;-9999;0;4,5;86,1
08/01/2020-01:00:00;7,2;6,2;5,9;0;-9999;0;4,9;87,2
08/01/2020-02:00:00;7,5;6,5;5,9;0;-9999;0;4,7;89,7
08/01/2020-03:00:00;7,6;6,8;5,9;0;-9999;0;4,5;91,8
08/01/2020-04:00:00;7,9;7,1;5,9;0;-9999;0;4,7;95,7
08/01/2020-05:00:00;8,4;7,6;6;0;-9999;0;4,7;95,4
08/01/2020-06:00:00;8,5;7,8;6;0;-9999;0;4,6;97
08/01/2020-07:00:00;9,1;8,2;6,1;0;-9999;0;4,1;96,8
08/01/2020-08:00:00;9,9;8,7;6,1;0;-9999;0;4,1;95,5
08/01/2020-09:00:00;10,3;9,2;6,2;0;-9999;0;3,7;95,6
08/01/2020-10:00:00;10,4;9,5;6,3;0;-9999;0;3,8;96,8
08/01/2020-11:00:00;10,5;9,6;6,4;0;-9999;0,1;3,4;97,3
08/01/2020-12:00:00;10,7;9,8;6,5;0;-9999;0;3,2;97,1
08/01/2020-13:00:00;11,2;10,3;6,6;81;-9999;0;3,1;96,3
08/01/2020-14:00:00;11,3;10,5;6,7;59;-9999;0,1;3,3;96,6
08/01/2020-15:00:00;11,6;10,6;6,8;53;-9999;0;3,4;94
08/01/2020-16:00:00;11,6;10,7;6,9;54;-9999;0;3,3;93,8
08/01/2020-17:00:00;11,2;10,5;7;25;-9999;0;3;96,5
08/01/2020-18:00:00;11;10,3;7,1;12;-9999;0;2,9;97,5
08/01/2020-19:00:00;11;10,3;7,2;0;-9999;0,1;2,8;97,7
08/01/2020-20:00:00;11;10,3;7,3;0;-9999;0;2,3;98
08/01/2020-21:00:00;10,9;10,2;7,4;0;-9999;0;2,2;98,2
08/01/2020-22:00:00;10,8;10,1;7,4;0;-9999;0,2;2,2;98,2
08/01/2020-23:00:00;10,8;10;7,5;0;-9999;0,3;2,3;97,7
09/01/2020-00:00:00;10,6;9,8;7,5;0;-9999;0,8;2,9;97,7
09/01/2020-01:00:00;10,5;9,7;7,5;0;-9999;0,9;2,6;97,3
09/01/2020-02:00:00;10,5;9,6;7,6;0;-9999;0;2,9;97
09/01/2020-03:00:00;10,5;9,6;7,6;0;-9999;0;3,3;97
09/01/2020-04:00:00;10,7;9,7;7,6;0;-9999;0,1;3,8;95,2
09/01/2020-05:00:00;10,8;9,8;7,7;0;-9999;0;5;94,2
09/01/2020-06:00:00;11;9,8;7,7;0;-9999;0;4,2;92,9
09/01/2020-07:00:00;11,2;9,9;7,7;0;-9999;0;4,1;91,2
09/01/2020-08:00:00;11,3;9,9;7,8;0;-9999;0;4,4;89,8
09/01/2020-09:00:00;11,4;10;7,8;0;-9999;0;4,6;89,8
09/01/2020-10:00:00;11,7;10,1;7,8;0;-9999;0;4,6;88,2
09/01/2020-11:00:00;12;10,3;7,9;0;-9999;0;5;85,7
09/01/2020-12:00:00;11,5;10,3;7,9;0;-9999;0,2;5;89,9
09/01/2020-13:00:00;11,1;10,2;8;50;-9999;0,6;5;92,8
09/01/2020-14:00:00;11,6;10,5;8;63;-9999;0;5,5;90,3
09/01/2020-15:00:00;11,9;10,6;8,1;36;-9999;0;5,2;88,8
09/01/2020-16:00:00;11,9;10,6;8,1;37;-9999;0;5,2;88,6
09/01/2020-17:00:00;12;10,7;8,2;39;-9999;0;5;88,2
09/01/2020-18:00:00;11,8;10,6;8,2;15;-9999;0;4,9;89,2
09/01/2020-19:00:00;11,8;10,4;8,3;9;-9999;0;4,6;88,4
09/01/2020-20:00:00;11,7;10,4;8,3;0;-9999;0;4,3;89,3
09/01/2020-21:00:00;11,1;10,2;8,3;0;-9999;1,1;3,9;93,2
09/01/2020-22:00:00;10,7;10;8,4;0;-9999;0,3;4,1;94
09/01/2020-23:00:00;10,7;9,7;8,4;0;-9999;0;3,8;90,7
10/01/2020-00:00:00;10,5;9,3;8,4;0;-9999;0;4,3;88,3
10/01/2020-01:00:00;10,4;9,3;8,4;0;-9999;0,1;4,2;87,2
10/01/2020-02:00:00;9,9;9;8,4;0;-9999;0,2;4,5;86,7
10/01/2020-03:00:00;9,4;8,2;8,4;0;-9999;0;3,4;83,3
10/01/2020-04:00:00;9,2;7,8;8,3;0;-9999;0;3,3;84,3
10/01/2020-05:00:00;8,5;7,4;8,3;0;-9999;0;2,5;86,8
10/01/2020-06:00:00;8,1;7,5;8,2;0;-9999;0,7;2,6;89,2
10/01/2020-07:00:00;7,5;7,4;8,2;0;-9999;2,8;2,1;91,4
10/01/2020-08:00:00;7,7;7,6;8,1;0;-9999;2;2,7;97,4
10/01/2020-09:00:00;7,2;7,3;8,1;0;-9999;0,3;2,9;96,2
10/01/2020-10:00:00;7,2;6,9;8;0;-9999;0,1;2,9;93,6
10/01/2020-11:00:00;7,2;6,9;7,9;0;-9999;0;3,7;92,1
10/01/2020-12:00:00;7,1;7;7,9;112;-9999;0;4,4;89,4
10/01/2020-13:00:00;7;7;7,8;89;-9999;0;4;91
10/01/2020-14:00:00;7,2;7;7,8;85;-9999;0;4,2;87,8
10/01/2020-15:00:00;7;6,9;7,8;90;-9999;0;3,9;89,1
10/01/2020-16:00:00;7,1;6,8;7,7;104;-9999;0;4,6;85,7
10/01/2020-17:00:00;6,9;6,6;7,7;62;-9999;0;3,8;84,9
10/01/2020-18:00:00;6,5;6,1;7,7;18;-9999;0;3,9;83,5
10/01/2020-19:00:00;5,8;5,2;7,6;9;-9999;0;2,6;83,5
10/01/2020-20:00:00;5,7;5,2;7,6;0;-9999;0;2,8;86
10/01/2020-21:00:00;5,6;5,4;7,5;0;-9999;0;2,5;89,1
10/01/2020-22:00:00;5,4;5,2;7,4;0;-9999;0;2,3;90,1
10/01/2020-23:00:00;5,4;5,3;7,4;0;-9999;0;2,1;91,1
11/01/2020-00:00:00;5,2;5,2;7,3;0;-9999;0;2;91,7
11/01/2020-01:00:00;5,3;5,3;7,2;0;-9999;0;2,1;92,8
11/01/2020-02:00:00;5,4;5,4;7,2;0;-9999;0;1,8;91,4
11/01/2020-03:00:00;5,4;5,3;7,2;0;-9999;0;1,9;88,5
11/01/2020-04:00:00;5,3;5,2;7,1;0;-9999;0;1,7;87,7
11/01/2020-05:00:00;5,2;5,1;7,1;0;-9999;0;1,8;85,4
11/01/2020-06:00:00;5,2;4,8;7;0;-9999;0;1,8;80,6
11/01/2020-07:00:00;4,8;4,3;7;0;-9999;0;1,7;78,2
11/01/2020-08:00:00;4,1;3,9;7;0;-9999;0;2,2;80,4
11/01/2020-09:00:00;3,8;3,6;6,9;0;-9999;0;2,6;81,4
11/01/2020-10:00:00;3,6;3,4;6,8;0;-9999;0;2,5;82,7
11/01/2020-11:00:00;3,8;3,6;6,8;0;-9999;0;3;81,4
11/01/2020-12:00:00;4,3;4,1;6,7;84;-9999;0;3,2;78,4
11/01/2020-13:00:00;5,1;4,7;6,6;148;-9999;0;3,8;75,4
11/01/2020-14:00:00;6;5,3;6,6;226;-9999;0;4,5;72,2
11/01/2020-15:00:00;6,6;5,9;6,5;180;-9999;0;4,5;70,7
11/01/2020-16:00:00;6,5;5,7;6,5;100;-9999;0;4,6;71,4
11/01/2020-17:00:00;6,4;5,7;6,5;94;-9999;0;4,1;73
11/01/2020-18:00:00;5,9;5,1;6,5;32;-9999;0;4;75,6
11/01/2020-19:00:00;5,2;4,5;6,5;9;-9999;0;3,7;78,8
11/01/2020-20:00:00;4,9;4,1;6,5;0;-9999;0;3,9;80
11/01/2020-21:00:00;4,6;3,8;6,5;0;-9999;0;3,9;80,4
11/01/2020-22:00:00;4,5;3,7;6,4;0;-9999;0;4,2;79,7
11/01/2020-23:00:00;4,5;3,6;6,3;0;-9999;0;4,3;79,5
12/01/2020-00:00:00;4,2;3,5;6,3;0;-9999;0;4,6;80,9
12/01/2020-01:00:00;4;3,4;6,2;0;-9999;0;4;81,6
12/01/2020-02:00:00;4;3,3;6,1;0;-9999;0;4,1;81,5
12/01/2020-03:00:00;3,8;3,2;6,1;0;-9999;0;4,2;82,3
12/01/2020-04:00:00;4,1;3,4;6;0;-9999;0;4,6;81,5
12/01/2020-05:00:00;4,3;3,5;5,9;0;-9999;0;4,4;80,7
12/01/2020-06:00:00;4,5;3,8;5,9;0;-9999;0;4,5;79,9
12/01/2020-07:00:00;4,7;4;5,8;0;-9999;0;4,2;79,9
12/01/2020-08:00:00;4,8;4;5,8;0;-9999;0;4,7;80,5
12/01/2020-09:00:00;4,8;3,8;5,8;0;-9999;0;5,1;80,6
12/01/2020-10:00:00;4,8;3,7;5,8;0;-9999;0;4,8;81,4
12/01/2020-11:00:00;5;3,9;5,7;0;-9999;0;5;81,4
12/01/2020-12:00:00;5,9;4,9;5,7;85;-9999;0;5,7;80,1
12/01/2020-13:00:00;6,2;5,5;5,7;59;-9999;0;5,3;82,6
12/01/2020-14:00:00;5,7;5,7;5,7;52;-9999;0,2;4,7;93,7
12/01/2020-15:00:00;6,3;6;5,7;46;-9999;0;4,5;92,6
12/01/2020-16:00:00;7;6,5;5,8;73;-9999;0;4,2;90,7
12/01/2020-17:00:00;8;7;5,9;87;-9999;0;4,1;87
12/01/2020-18:00:00;8;6,6;5,9;32;-9999;0;4,1;86,5
12/01/2020-19:00:00;7,9;6,4;6;9;-9999;0;3,6;87
12/01/2020-20:00:00;8,1;6,7;6,1;0;-9999;0;3,8;86,3
12/01/2020-21:00:00;8;6,8;6,1;0;-9999;0;2,9;87,8
12/01/2020-22:00:00;7,7;6,6;6,2;0;-9999;0;2,9;88,5
12/01/2020-23:00:00;7,2;6;6,2;0;-9999;0;2,7;88,9
13/01/2020-00:00:00;7;5,8;6,2;0;-9999;0;3;89
13/01/2020-01:00:00;6,7;5,6;6,2;0;-9999;0;2,7;91,1
13/01/2020-02:00:00;6,7;5,7;6,2;0;-9999;0;2,6;91,8
13/01/2020-03:00:00;6,9;6;6,2;0;-9999;0;2,5;91,3
13/01/2020-04:00:00;6,9;6,1;6,2;0;-9999;0;2,6;90,3
13/01/2020-05:00:00;6,9;6;6,2;0;-9999;0;2,5;89,7
13/01/2020-06:00:00;6,8;6,1;6,2;0;-9999;0;2,5;89,8
13/01/2020-07:00:00;6,5;5,8;6,2;0;-9999;0;2,6;89,2
13/01/2020-08:00:00;6,1;5,4;6,2;0;-9999;0;2,4;90,4
13/01/2020-09:00:00;6;5,3;6,2;0;-9999;0;2,1;91,2
13/01/2020-10:00:00;5,7;5,4;6,2;0;-9999;0;1,9;92,3
13/01/2020-11:00:00;6,1;5,5;6,2;0;-9999;0;2;91,7
13/01/2020-12:00:00;6,9;6,3;6,2;112;-9999;0,1;2,8;91
13/01/2020-13:00:00;7,5;7;6,2;112;-9999;0;3,4;87,5
13/01/2020-14:00:00;8,4;7,4;6,2;265;-9999;0;4,7;76,6
13/01/2020-15:00:00;8,3;7,4;6,3;191;-9999;0;4,5;73,3
13/01/2020-16:00:00;7,9;7,2;6,3;71;-9999;0;3,7;80,2
13/01/2020-17:00:00;7,8;7,1;6,4;33;-9999;0;4,4;84,1
13/01/2020-18:00:00;7,8;7;6,5;15;-9999;0;4,7;86,4
13/01/2020-19:00:00;8,1;7,1;6,5;9;-9999;0;4,7;87,4
13/01/2020-20:00:00;8,1;7,2;6,5;9;-9999;0;5,5;88
13/01/2020-21:00:00;8;7,2;6,6;0;-9999;0;5,3;90,8
13/01/2020-22:00:00;8,5;7,4;6,6;0;-9999;0;5,1;89,4
13/01/2020-23:00:00;9;7,7;6,6;0;-9999;0;5,9;87,8
14/01/2020-00:00:00;9,5;7,9;6,7;0;-9999;0;6,5;84,6
14/01/2020-01:00:00;9,7;8;6,7;0;-9999;0;6,8;81,8
14/01/2020-02:00:00;9,7;8,1;6,8;0;-9999;0;6,7;81,8
14/01/2020-03:00:00;9,8;8,2;6,8;0;-9999;0;6,3;81,7
14/01/2020-04:00:00;9,9;8,2;6,8;0;-9999;0;5,9;79,2
14/01/2020-05:00:00;9,3;8;6,9;0;-9999;0,7;6,2;82
14/01/2020-06:00:00;8,7;7,7;6,9;0;-9999;1;6,4;85,7
14/01/2020-07:00:00;8,6;7,6;7;0;-9999;0,4;6,4;85,9
14/01/2020-08:00:00;8,9;7,6;7;0;-9999;0,1;6,5;83
14/01/2020-09:00:00;9;7,5;7;0;-9999;0;5,9;81
14/01/2020-10:00:00;9,4;7,6;7;0;-9999;0;6,4;76,5
14/01/2020-11:00:00;9,4;7,8;7;0;-9999;0;5,9;77,6
14/01/2020-12:00:00;9,2;7,9;7;30;-9999;0;6,1;80,9
14/01/2020-13:00:00;9,1;8;7;48;-9999;0;6,1;81,5
14/01/2020-14:00:00;9,4;8,1;7,1;42;-9999;0;5,6;81,6
14/01/2020-15:00:00;9,8;8,4;7,1;77;-9999;0;6,4;79,5
14/01/2020-16:00:00;9,9;8,6;7,1;97;-9999;0;6,4;75,8
14/01/2020-17:00:00;9,4;8,3;7,2;38;-9999;0;6,4;80,1
14/01/2020-18:00:00;9,8;8,4;7,2;15;-9999;0;6,8;81,8
14/01/2020-19:00:00;10,4;8,9;7,2;9;-9999;0;6,5;82,8
14/01/2020-20:00:00;10,4;9,2;7,3;9;-9999;0;7,2;84,9
14/01/2020-21:00:00;10,3;8,8;7,3;0;-9999;0;6,7;81,9
14/01/2020-22:00:00;10;8,5;7,4;0;-9999;0,1;6,3;79,6
14/01/2020-23:00:00;10,6;8,4;7,4;0;-9999;0;6,4;73,4
15/01/2020-00:00:00;10,8;8,6;7,4;0;-9999;0;6,7;72
15/01/2020-01:00:00;10,6;8,6;7,4;0;-9999;0;5,9;75,1
15/01/2020-02:00:00;10,4;8,6;7,5;0;-9999;0;5,4;78,8
15/01/2020-03:00:00;10,7;8,6;7,5;0;-9999;0;5,7;76,8
15/01/2020-04:00:00;10,5;8,3;7,5;0;-9999;0;5,4;75,7
15/01/2020-05:00:00;10,2;8;7,5;0;-9999;0;5,3;73,7
15/01/2020-06:00:00;9,9;7,7;7,5;0;-9999;0;5,3;73,2
15/01/2020-07:00:00;9,8;7,5;7,4;0;-9999;0;5,6;71,6
15/01/2020-08:00:00;9,7;7,4;7,4;0;-9999;0;5,2;69,2
15/01/2020-09:00:00;9,3;7,1;7,4;0;-9999;0;5,3;69,9
15/01/2020-10:00:00;8,8;6,9;7,3;0;-9999;0;5,3;70,9
